19 13
	30.0    35.0    40.0    45.0    50.0    55.0    60.0    65.0    70.0    75.0    80.0    85.0    90.0
0.0	3580.96 3580.96 3580.96 3580.96 3580.96 3580.96 3580.96 3580.96 3580.96 3580.96 3580.96 3580.96 3580.96
5.0	3539.35 3539.60 3540.33 3541.52 3543.09 3544.97 3547.06 3549.23 3551.33 3553.21 3554.71 3555.67 3556.00
10.0	3504.78 3505.74 3508.56 3513.13 3519.25 3526.65 3534.98 3543.81 3552.63 3560.81 3567.59 3572.15 3573.77
15.0	3478.51 3480.58 3486.69 3496.54 3509.68 3525.50 3543.27 3562.18 3581.29 3599.48 3615.28 3626.57 3630.78
20.0	3461.55 3465.08 3475.46 3492.09 3514.03 3540.11 3568.99 3599.32 3629.71 3658.81 3684.94 3705.25 3713.72
25.0	3454.54 3459.80 3475.20 3499.63 3531.39 3568.44 3608.55 3649.62 3689.72 3727.34 3761.15 3789.42 3804.21
30.0	3457.76 3464.91 3485.73 3518.38 3560.15 3607.81 3658.04 3707.77 3754.52 3796.50 3832.69 3862.77 3884.93
35.0	3471.08 3480.12 3506.29 3546.86 3597.87 3654.72 3712.90 3768.46 3818.40 3860.79 3894.82 3920.58 3935.89
40.0	3493.99 3504.73 3535.59 3582.85 3641.15 3704.54 3767.43 3825.30 3875.06 3915.04 3944.87 3965.28 3976.95
45.0	3525.61 3537.65 3571.99 3623.78 3686.24 3752.14 3815.15 3870.71 3916.27 3951.03 3975.37 3990.15 3995.47
50.0	3564.77 3577.60 3613.87 3667.57 3730.55 3794.58 3853.09 3902.17 3940.43 3968.25 3986.82 3997.39 4000.82
55.0	3610.05 3623.20 3659.98 3713.32 3773.98 3833.30 3885.26 3927.11 3958.70 3981.19 3996.07 4004.54 4007.30
60.0	3659.87 3672.99 3709.30 3760.85 3817.77 3871.60 3917.28 3953.27 3980.18 3999.55 4013.00 4021.80 4025.38
65.0	3712.58 3725.44 3760.68 3809.71 3862.39 3910.83 3951.01 3982.29 4005.79 4023.29 4036.93 4049.64 4062.59
70.0	3766.48 3778.95 3812.72 3858.74 3906.84 3949.83 3984.65 4011.23 4030.85 4045.07 4055.42 4063.18 4067.11
75.0	3819.91 3831.86 3863.79 3906.23 3949.16 3986.15 4014.91 4035.70 4049.50 4087.02 4058.48 4055.19 4052.61
80.0	3871.32 3882.58 3912.18 3950.28 3987.12 4017.12 4038.70 4052.18 4058.06 4056.32 4047.43 4035.62 4029.92
85.0	3919.24 3929.62 3956.26 3989.02 4018.63 4040.53 4053.80 4058.73 4055.39 4043.69 4025.41 4007.32 2999.59
90.0	3962.38 3971.61 3994.50 4020.71 4041.88 4054.74 4058.74 4054.74 4041.88 4020.71 3994.50 3971.61 3962.38
